date	hanle_pblh_avg	merak_pblh_avg	hanle_pblh_median	merak_pblh_median
1984-11-25	1.0047977	0.7364854	0.7625295	0.5766201
1984-11-26	0.9448025	0.74052465	0.78834075	0.67755646
1984-11-27	0.69741416	0.630022	0.444234	0.45625353
1984-11-28	1.1572095	0.9012828	0.89166933	0.6110593
1984-11-29	0.66343987	0.53378403	0.21403198	0.2669663
1984-11-30	0.4601613	0.47455734	0.2526018	0.2432417
1984-12-01	0.82882017	0.9949485	0.67103636	0.9505179
1984-12-02	1.0942974	1.2548571	1.1098261	1.4218228
1984-12-03	0.59664565	0.47343063	0.31093922	0.33580202
1984-12-04	0.6307248	0.90504557	0.28827575	0.8748369
1984-12-05	1.3380764	1.617679	1.4852839	1.9910877
1984-12-06	1.1195419	1.2113192	0.98039246	1.1129766
1984-12-07	1.2286203	1.1638062	1.1996825	1.1634023
1984-12-08	1.8725982	2.1801624	1.7585045	2.2290149
1984-12-09	1.8019007	1.8571366	2.0957282	2.2623057
1984-12-10	2.1270585	2.112262	2.5181499	2.594834
1984-12-11	1.6581558	1.7911923	1.9834182	2.1679597
1984-12-12	1.4547303	0.7904825	1.5698102	0.7808311
1984-12-13	1.9321736	1.8590926	1.9700301	1.8552873
1984-12-14	1.296359	1.3013711	1.3155599	1.377052
1984-12-15	0.54968196	0.6251962	0.36419836	0.37058106
1984-12-16	0.9337017	1.1202259	0.8322827	1.0919306
1984-12-17	1.6501606	1.6791165	1.8841188	1.9060954
1984-12-18	1.1125121	1.1962469	1.0720956	1.1713955
1984-12-19	1.5858846	1.6804984	1.5468111	1.8654914
1984-12-20	1.809896	2.2574162	2.068784	2.20546
1984-12-21	2.437128	2.980743	2.3598413	2.9695396
1984-12-22	1.9842577	2.1805663	2.1355572	2.365368
1984-12-23	1.4281217	1.5838565	1.4821782	1.6910002
1984-12-24	2.1631312	2.6726196	2.1162934	2.6922414
1984-12-25	1.6778814	1.8840501	1.9429598	2.1580958
1984-12-26	1.7939687	2.3287392	1.7061267	2.201336
1984-12-27	1.4329901	1.5856421	1.7115407	1.9882389
1984-12-28	1.0198857	0.9958839	0.9519373	0.96773744
1984-12-29	0.49724117	0.4624398	0.412463	0.3997479
1984-12-30	1.5902073	2.1242733	1.6388918	2.0123887
1984-12-31	2.5418627	2.8426042	2.5150023	2.8425403
1985-01-01	1.7845255	2.4247007	1.9483738	2.4228086
1985-01-02	0.7273173	0.96958685	0.60321385	0.9022607
1985-01-03	0.2808892	0.28063568	0.28386903	0.29158387
1985-01-04	0.3623517	0.3547859	0.34031776	0.35650784
1985-01-05	1.4970564	1.6113652	1.7540557	1.6210166
1985-01-06	0.3841967	0.37625715	0.4283275	0.3932428
1985-01-07	0.3744389	0.47126216	0.37599182	0.3326981
1985-01-08	0.83570313	0.74734867	0.8866749	0.66535395
1985-01-09	0.49044222	0.34351882	0.44570285	0.35251123
1985-01-10	0.52292645	0.56460905	0.4449474	0.39205235
1985-01-11	0.6019548	0.5744518	0.5680436	0.5582527
1985-01-12	0.48605642	0.38437793	0.43487474	0.39081934
1985-01-13	0.5442259	0.45310724	0.51851964	0.42644888
1985-01-14	0.51067144	0.4014487	0.44091833	0.3737274
1985-01-15	0.51201445	0.47160238	0.44683605	0.40302187
1985-01-16	0.2216914	0.22355609	0.2249021	0.23741674
1985-01-17	0.62717843	0.6288315	0.42060524	0.47113466
1985-01-18	0.8517355	1.108725	0.6116078	0.96101964
1985-01-19	0.5292219	0.5568071	0.5872655	0.51148367
1985-01-20	0.4241097	0.4252797	0.41321862	0.4213894
1985-01-21	1.4093825	1.6954433	1.4611936	2.0199995
1985-01-22	0.23323298	0.24075446	0.2635558	0.26501063
1985-01-23	0.24389313	0.22174914	0.18582849	0.20080933
1985-01-24	0.29557848	0.41397008	0.19556543	0.23937255
1985-01-25	0.5247941	0.4320612	0.38883436	0.4002157
1985-01-26	2.3160465	1.9945315	2.372558	1.999421
1985-01-27	0.8333948	1.0420152	0.8448734	1.1125515
