year	month	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
2017	4	0.39359275	0.39359275	0.09151319	0.09151319
2017	5	0.69059646	0.69059646	0.33007312	0.33007312
2017	6	1.05531	1.05531	0.80716085	0.80716085
2017	7	0.8397559	0.8397559	0.51561975	0.51561975
2017	8	0.90836	0.90836	0.52399373	0.52399373
2017	9	0.97272676	0.97272676	0.47255853	0.47255853
2017	10	1.0674225	1.0674225	0.4615436	0.4615436
2017	11	0.92974544	0.92974544	0.20916663	0.20916663
2017	12	0.43637753	0.43637753	0.11244793	0.11244793
2018	1	0.3651865	0.3651865	0.08132666	0.08132666
2018	2	0.410884	0.410884	0.089538455	0.089538455
2018	3	0.5845206	0.5845206	0.09709351	0.09709351
2018	4	1.0622426	1.0622426	0.55050015	0.55050015
2018	5	1.2625299	1.2625299	1.0349662	1.0349662
