date	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
1995-07-20	0.7722245	0.7722245	0.44534308	0.44534308
1995-07-21	0.64196396	0.64196396	0.39429772	0.39429772
1995-07-22	0.64298916	0.64298916	0.52983725	0.52983725
1995-07-23	0.53449064	0.53449064	0.20842932	0.20842932
1995-07-24	0.6642632	0.6642632	0.46131998	0.46131998
1995-07-25	1.1605586	1.1605586	1.2928071	1.2928071
1995-07-26	1.0852182	1.0852182	0.99500656	0.99500656
1995-07-27	1.096085	1.096085	1.1372418	1.1372418
1995-07-28	0.76805115	0.76805115	0.66845983	0.66845983
1995-07-29	0.93339556	0.93339556	1.1283035	1.1283035
1995-07-30	0.95749336	0.95749336	0.67964065	0.67964065
1995-07-31	0.7045326	0.7045326	0.35044676	0.35044676
1995-08-01	0.672314	0.672314	0.40292475	0.40292475
1995-08-02	0.7017452	0.7017452	0.4462151	0.4462151
1995-08-03	0.5914793	0.5914793	0.43590635	0.43590635
1995-08-04	0.53213406	0.53213406	0.29379553	0.29379553
1995-08-05	0.5144079	0.5144079	0.3887229	0.3887229
1995-08-06	0.5115659	0.5115659	0.3191157	0.3191157
1995-08-07	0.5593255	0.5593255	0.31899115	0.31899115
1995-08-08	0.52151394	0.52151394	0.3835219	0.3835219
1995-08-09	0.48842323	0.48842323	0.24471228	0.24471228
1995-08-10	0.5067957	0.5067957	0.45558947	0.45558947
1995-08-11	0.50715643	0.50715643	0.4357195	0.4357195
1995-08-12	0.4824254	0.4824254	0.10478155	0.10478155
1995-08-13	0.54079217	0.54079217	0.28370476	0.28370476
1995-08-14	0.7782717	0.7782717	0.3329126	0.3329126
1995-08-15	0.7265931	0.7265931	0.054857418	0.054857418
1995-08-16	0.839078	0.839078	0.048877805	0.048877805
1995-08-17	0.58150536	0.58150536	0.3607244	0.3607244
1995-08-18	0.6391299	0.6391299	0.33901685	0.33901685
1995-08-19	0.47773302	0.47773302	0.17716059	0.17716059
1995-08-20	0.5083166	0.5083166	0.199927	0.199927
1995-08-21	0.44592443	0.44592443	0.20157763	0.20157763
1995-08-22	0.6211934	0.6211934	0.3474258	0.3474258
1995-08-23	0.6188758	0.6188758	0.14106451	0.14106451
1995-08-24	0.4871541	0.4871541	0.20472321	0.20472321
1995-08-25	0.53349924	0.53349924	0.18052423	0.18052423
1995-08-26	0.7711708	0.7711708	0.6592723	0.6592723
1995-08-27	0.77312505	0.77312505	0.38358417	0.38358417
1995-08-28	0.7120877	0.7120877	0.3009587	0.3009587
1995-08-29	1.0443597	1.0443597	0.72483087	0.72483087
1995-08-30	0.56488734	0.56488734	0.31506702	0.31506702
1995-08-31	0.5765794	0.5765794	0.35281372	0.35281372
1995-09-01	0.95611525	0.95611525	0.4994716	0.4994716
1995-09-02	0.78898525	0.78898525	0.23265949	0.23265949
1995-09-03	0.6771465	0.6771465	0.3519106	0.3519106
1995-09-04	0.81291693	0.81291693	0.60716814	0.60716814
1995-09-05	0.7759099	0.7759099	0.6098777	0.6098777
1995-09-06	0.6926693	0.6926693	0.38834924	0.38834924
1995-09-07	0.6107705	0.6107705	0.10839429	0.10839429
1995-09-08	0.6251591	0.6251591	0.12427777	0.12427777
1995-09-09	0.64828104	0.64828104	0.3647731	0.3647731
1995-09-10	0.7505274	0.7505274	0.36614344	0.36614344
1995-09-11	0.84748435	0.84748435	0.25206238	0.25206238
1995-09-12	0.9701119	0.9701119	0.5378724	0.5378724
1995-09-13	0.9817391	0.9817391	0.5322041	0.5322041
1995-09-14	1.0170851	1.0170851	0.3893147	0.3893147
1995-09-15	1.0761033	1.0761033	0.7342363	0.7342363
1995-09-16	1.1057967	1.1057967	0.5649055	0.5649055
1995-09-17	0.9710177	0.9710177	0.36003917	0.36003917
1995-09-18	1.0927811	1.0927811	0.6138953	0.6138953
1995-09-19	1.1228144	1.1228144	0.9840749	0.9840749
1995-09-20	0.8959914	0.8959914	0.47717243	0.47717243
1995-09-21	1.2286501	1.2286501	1.1036997	1.1036997
1995-09-22	1.0387874	1.0387874	0.3183994	0.3183994
1995-09-23	1.0457922	1.0457922	0.6461606	0.6461606
1995-09-24	1.1031547	1.1031547	0.4654622	0.4654622
1995-09-25	1.1662164	1.1662164	1.0489794	1.0489794
1995-09-26	0.9640388	0.9640388	0.42432076	0.42432076
1995-09-27	0.94700295	0.94700295	0.18360743	0.18360743
1995-09-28	1.0227482	1.0227482	0.8038436	0.8038436
1995-09-29	1.0103502	1.0103502	0.5153863	0.5153863
1995-09-30	1.2694023	1.2694023	1.0030729	1.0030729
1995-10-01	1.2760983	1.2760983	0.6000673	0.6000673
1995-10-02	1.2956152	1.2956152	1.027739	1.027739
1995-10-03	1.1342132	1.1342132	1.0535264	1.0535264
1995-10-04	1.1931612	1.1931612	0.9553289	0.9553289
1995-10-05	1.4328598	1.4328598	1.4406173	1.4406173
1995-10-06	0.884943	0.884943	0.28622752	0.28622752
1995-10-07	0.9802961	0.9802961	0.5027729	0.5027729
1995-10-08	0.9908384	0.9908384	0.42251435	0.42251435
1995-10-09	1.0893266	1.0893266	0.69982207	0.69982207
1995-10-10	1.2819377	1.2819377	1.210493	1.210493
1995-10-11	1.3938102	1.3938102	1.415297	1.415297
1995-10-12	1.4210769	1.4210769	0.64721954	0.64721954
1995-10-13	1.2454394	1.2454394	0.47692323	0.47692323
1995-10-14	1.2056682	1.2056682	0.8964664	0.8964664
1995-10-15	1.2169347	1.2169347	0.98943174	0.98943174
1995-10-16	0.5358402	0.5358402	0.37701276	0.37701276
1995-10-17	0.9975889	0.9975889	0.20357086	0.20357086
1995-10-18	1.0887609	1.0887609	0.39548126	0.39548126
1995-10-19	1.1887882	1.1887882	0.6503651	0.6503651
1995-10-20	1.3323939	1.3323939	1.2464334	1.2464334
1995-10-21	0.93422866	0.93422866	0.18326488	0.18326488
1995-10-22	0.68626136	0.68626136	0.09568744	0.09568744
1995-10-23	0.602782	0.602782	0.03719873	0.03719873
1995-10-24	0.475937	0.475937	0.036202088	0.036202088
1995-10-25	0.62956345	0.62956345	0.08790143	0.08790143
1995-10-26	0.5621285	0.5621285	0.116460636	0.116460636
1995-10-27	0.54409087	0.54409087	0.047850035	0.047850035
1995-10-28	0.80992967	0.80992967	0.05887506	0.05887506
1995-10-29	0.89656496	0.89656496	0.09444171	0.09444171
1995-10-30	0.79856205	0.79856205	0.094597414	0.094597414
1995-10-31	0.6406975	0.6406975	0.077000976	0.077000976
1995-11-01	0.64490193	0.64490193	0.09282221	0.09282221
1995-11-02	0.374529	0.374529	0.03165503	0.03165503
1995-11-03	0.3429618	0.3429618	0.02072345	0.02072345
1995-11-04	0.4853763	0.4853763	0.04467334	0.04467334
1995-11-05	0.67935777	0.67935777	0.038164183	0.038164183
1995-11-06	0.5070916	0.5070916	0.050497316	0.050497316
1995-11-07	0.62655026	0.62655026	0.044019286	0.044019286
1995-11-08	0.52510846	0.52510846	0.043894716	0.043894716
1995-11-09	0.4871489	0.4871489	0.027948914	0.027948914
1995-11-10	0.27152744	0.27152744	0.022872375	0.022872375
1995-11-11	0.29709163	0.29709163	0.023744445	0.023744445
1995-11-12	0.36602142	0.36602142	0.026983399	0.026983399
1995-11-13	0.4759993	0.4759993	0.071363896	0.071363896
1995-11-14	0.67344296	0.67344296	0.06824945	0.06824945
1995-11-15	0.75428545	0.75428545	0.15657434	0.15657434
1995-11-16	0.69621193	0.69621193	0.092573	0.092573
1995-11-17	0.8532512	0.8532512	0.09285334	0.09285334
1995-11-18	0.79455227	0.79455227	0.14202997	0.14202997
1995-11-19	0.7800235	0.7800235	0.12434009	0.12434009
1995-11-20	0.77624464	0.77624464	0.09908216	0.09908216
1995-11-21	0.69188553	0.69188553	0.13003948	0.13003948
1995-11-22	0.6423844	0.6423844	0.05557379	0.05557379
1995-11-23	0.48896566	0.48896566	0.10384723	0.10384723
1995-11-24	0.4342012	0.4342012	0.08746539	0.08746539
1995-11-25	0.33857566	0.33857566	0.038849365	0.038849365
1995-11-26	0.50325304	0.50325304	0.095469415	0.095469415
1995-11-27	0.9383708	0.9383708	0.43157732	0.43157732
1995-11-28	1.2286891	1.2286891	0.7820115	0.7820115
1995-11-29	1.0300982	1.0300982	0.33232087	0.33232087
1995-11-30	0.41649577	0.41649577	0.086313054	0.086313054
1995-12-01	0.5469016	0.5469016	0.117176935	0.117176935
1995-12-02	0.5119059	0.5119059	0.11574426	0.11574426
1995-12-03	0.4811277	0.4811277	0.055947512	0.055947512
1995-12-04	0.5302914	0.5302914	0.05174304	0.05174304
1995-12-05	0.288392	0.288392	0.17479369	0.17479369
1995-12-06	0.32162544	0.32162544	0.10088855	0.10088855
1995-12-07	0.4070928	0.4070928	0.15461218	0.15461218
1995-12-08	0.7708308	0.7708308	0.39903167	0.39903167
1995-12-09	0.7149815	0.7149815	0.09842816	0.09842816
1995-12-10	0.5629772	0.5629772	0.28140014	0.28140014
1995-12-11	0.8037839	0.8037839	0.1221911	0.1221911
1995-12-12	0.2542061	0.2542061	0.15367785	0.15367785
1995-12-13	0.37398657	0.37398657	0.19064605	0.19064605
1995-12-14	0.82360196	0.82360196	0.20011383	0.20011383
1995-12-15	0.58374774	0.58374774	0.23237921	0.23237921
1995-12-16	0.25735423	0.25735423	0.08326092	0.08326092
1995-12-17	0.2673126	0.2673126	0.13984992	0.13984992
1995-12-18	0.5297879	0.5297879	0.22107393	0.22107393
1995-12-19	0.333141	0.333141	0.09799212	0.09799212
1995-12-20	0.37463802	0.37463802	0.104563594	0.104563594
1995-12-21	0.42861864	0.42861864	0.073886536	0.073886536
1995-12-22	0.2875667	0.2875667	0.072485045	0.072485045
1995-12-23	0.1672931	0.1672931	0.035734925	0.035734925
1995-12-24	0.17137298	0.17137298	0.027762026	0.027762026
1995-12-25	0.18871768	0.18871768	0.027730897	0.027730897
1995-12-26	0.14114757	0.14114757	0.028665222	0.028665222
1995-12-27	0.1792265	0.1792265	0.0394411	0.0394411
1995-12-28	0.18636891	0.18636891	0.056695007	0.056695007
1995-12-29	0.18996865	0.18996865	0.057722718	0.057722718
1995-12-30	0.18434714	0.18434714	0.035018615	0.035018615
1995-12-31	0.275898	0.275898	0.027793152	0.027793152
1996-01-01	0.14496103	0.14496103	0.030539062	0.030539062
1996-01-02	0.15483406	0.15483406	0.022187011	0.022187011
1996-01-03	0.15580954	0.15580954	0.033133056	0.033133056
1996-01-04	0.21919745	0.21919745	0.03148804	0.03148804
1996-01-05	0.2610993	0.2610993	0.045249693	0.045249693
1996-01-06	0.2029445	0.2029445	0.051830016	0.051830016
1996-01-07	0.16155937	0.16155937	0.042149413	0.042149413
1996-01-08	0.39102829	0.39102829	0.041200317	0.041200317
1996-01-09	0.3799583	0.3799583	0.061858583	0.061858583
1996-01-10	0.6633138	0.6633138	0.17815247	0.17815247
1996-01-11	1.0376016	1.0376016	0.33775598	0.33775598
1996-01-12	0.2751035	0.2751035	0.11643067	0.11643067
1996-01-13	1.1537136	1.1537136	0.20267029	0.20267029
1996-01-14	0.92491436	0.92491436	0.24882722	0.24882722
1996-01-15	1.1619706	1.1619706	0.7724658	0.7724658
1996-01-16	0.7965804	0.7965804	0.22462568	0.22462568
1996-01-17	0.06818843	0.06818843	0.040947206	0.040947206
1996-01-18	0.11261851	0.11261851	0.11098926	0.11098926
1996-01-19	0.15221357	0.15221357	0.087768435	0.087768435
1996-01-20	0.14365341	0.14365341	0.094475284	0.094475284
1996-01-21	0.16623884	0.16623884	0.16046795	0.16046795
1996-01-22	0.6874152	0.6874152	0.17242633	0.17242633
